task_id,dataset_name,problem_type,context_len,use_chunk,chunk_size,seed,fit_time_s,eval_time_s,fit_mem_mb,eval_mem_mb,auc,acc,r2,rmse
363613,Amazon_employee_access,binary,30000,0,256,1,2.4466260760091245,3.0928221109788865,8.125,1773.0810546875,0.8268501169709336,0.9429356118400977,0,0
363628,customer_satisfaction_in_airline,binary,7000,0,256,1,0.37070228497032076,2.9412032169639133,8.125,3514.49755859375,0.9885543678034624,0.9429858330766862,0,0
363631,diamonds,regression,8000,0,256,1,0.7557924810098484,2.4155901430058293,8.125,5363.65625,0,0,0.9817439317703247,534.3304221172514
363630,Diabetes130US,binary,7000,0,256,1,0.4891391589771956,3.028644082020037,8.125,4097.9111328125,0.6268463992941887,0.9119826621923938,0,0
363627,credit_card_clients_default,binary,20000,0,256,1,0.8641597490059212,4.225897661992349,8.125,3203.61474609375,0.7750777244769492,0.826,0,0
363628,customer_satisfaction_in_airline,binary,8000,0,256,1,0.37162967305630445,3.1751737070153467,8.125,3623.26025390625,0.9887467439363012,0.9437557745611334,0,0
363631,diamonds,regression,9000,0,256,1,0.8066460179979913,2.6046929209842347,8.125,5363.65625,0,0,0.9817014336585999,534.9522759087954
363618,bank-marketing,binary,30000,0,256,1,2.347035141021479,4.839391703018919,8.125,2414.6953125,0.7508943991155439,0.8941722879575362,0,0
363630,Diabetes130US,binary,8000,0,256,1,0.49497106799390167,3.451390367001295,8.125,4379.1005859375,0.6269227221346283,0.9119826621923938,0,0
363620,Bioresponse,binary,2000,0,256,1,13.250313197029755,8.30625935603166,8.125,15669.43408203125,0.8384663733500944,0.758988015978695,0,0
363616,APSFailure,binary,3000,0,256,1,1.0883626600261778,10.797927731007803,8.125,15725.75146484375,0.9817248667580326,0.9891447368421052,0,0
363631,diamonds,regression,10000,0,256,1,0.8553983210003935,2.8135717939585447,8.125,5363.65625,0,0,0.9817285537719727,534.5553350683164
363627,credit_card_clients_default,binary,30000,0,256,1,0.9373562679975294,5.543499161023647,8.125,3689.0498046875,0.7767427594362329,0.8265,0,0
363628,customer_satisfaction_in_airline,binary,9000,0,256,1,0.4847812809748575,3.4508758280426264,8.125,3728.0234375,0.9887342661957739,0.9455651370495842,0,0
363630,Diabetes130US,binary,9000,0,256,1,0.5218207850120962,3.829243172018323,8.125,4572.91943359375,0.6256038317901831,0.9119826621923938,0,0
363628,customer_satisfaction_in_airline,binary,10000,0,256,1,0.43995828699553385,3.755609126004856,8.125,3832.78662109375,0.9887786321600557,0.9454496458269172,0,0
363618,bank-marketing,binary,40000,0,256,1,2.439470845973119,6.449676361982711,8.125,2790.5927734375,0.7509957233139168,0.8938405396439235,0,0
363630,Diabetes130US,binary,10000,0,256,1,0.6590917860157788,4.225018462981097,8.125,4766.80078125,0.6258823629697531,0.9119826621923938,0,0
363631,diamonds,regression,20000,0,256,1,5.0155790420249104,5.361545048013795,8.125,5363.65625,0,0,0.9822689294815063,526.591516262843
363628,customer_satisfaction_in_airline,binary,20000,0,256,1,0.8381763760116883,6.981907555018552,8.125,4882.138671875,0.9898183910326847,0.9471820141669233,0,0
363616,APSFailure,binary,4000,0,256,1,1.2792892010184005,12.729785892006475,8.125,16587.02734375,0.9825944266788489,0.9895394736842106,0,0
363630,Diabetes130US,binary,20000,0,256,1,1.0587787359836511,9.189252612995915,8.125,6856.29296875,0.6296095174916911,0.9119826621923938,0,0
363631,diamonds,regression,30000,0,256,1,5.503053730993997,8.939800561056472,8.125,5363.65625,0,0,0.982459306716919,523.7567422000408
363628,customer_satisfaction_in_airline,binary,30000,0,256,1,4.59359794401098,11.232829837012105,8.125,5946.75,0.9898330760053571,0.9467970434246997,0,0
363616,APSFailure,binary,5000,0,256,1,1.6792252659797668,21.00059191096807,8.125,17448.2705078125,0.9817219430485762,0.9891447368421052,0,0
363672,Food_Delivery_Time,regression,1000,0,256,1,0.408004404976964,6.785423043009359,0.0,4526.318359375,0,0,0.27652156352996826,8.043368092016669
363672,Food_Delivery_Time,regression,2000,0,256,1,0.4280298249796033,1.2763784480048344,8.125,4526.9208984375,0,0,0.2843744158744812,7.999596585592712
363672,Food_Delivery_Time,regression,3000,0,256,1,0.46221064298879355,1.4013707599951886,8.125,4526.9208984375,0,0,0.30631518363952637,7.87600967958397
363630,Diabetes130US,binary,30000,0,256,1,8.013565152999945,16.24958045396488,8.125,8843.51806640625,0.6311146940190842,0.9119826621923938,0,0
363672,Food_Delivery_Time,regression,4000,0,256,1,0.5293661110335961,1.5265086090075783,8.125,4526.9208984375,0,0,0.31392157077789307,7.832709943707597
363631,diamonds,regression,40000,0,256,1,5.8667255219770595,13.526104032993317,8.125,5363.65625,0,0,0.9826276302337646,521.2382792447231
363672,Food_Delivery_Time,regression,5000,0,256,1,0.5673033579951152,1.6604309829999693,8.125,4526.9208984375,0,0,0.3202880024909973,7.796283462499085
363672,Food_Delivery_Time,regression,6000,0,256,1,0.6556483770254999,1.7956355329952203,8.125,4526.9208984375,0,0,0.3208649158477783,7.792974134553278
