task_id,dataset_name,problem_type,context_len,use_chunk,chunk_size,seed,fit_time_s,eval_time_s,fit_mem_mb,eval_mem_mb,auc,acc,r2,rmse
363673,GiveMeSomeCredit,binary,1000,1,256,1,0.17387606104603037,7.430545034003444,0.0,1802.23876953125,0.8515677942133414,0.9369333333333333,0,0
363672,Food_Delivery_Time,regression,9000,1,256,1,0.7810014209826477,3.0547065749997273,8.125,4526.9208984375,0,0,0.332913875579834,7.723534711117565
363673,GiveMeSomeCredit,binary,2000,1,256,1,0.18404426297638565,1.7548954500234686,8.125,1861.82568359375,0.8594296808434352,0.9375333333333333,0,0
363628,customer_satisfaction_in_airline,binary,40000,1,256,1,4.826458657975309,24.071598808979616,8.125,6994.640625,0.9899404647281222,0.9469125346473668,0,0
363673,GiveMeSomeCredit,binary,3000,1,256,1,0.19938554998952895,1.9637834070017561,8.125,1917.4130859375,0.862582577312746,0.9370333333333334,0,0
363672,Food_Delivery_Time,regression,10000,1,256,1,0.8247979540028609,3.3736649450147524,8.125,4526.9208984375,0,0,0.332680881023407,7.724883449625809
363673,GiveMeSomeCredit,binary,4000,1,256,1,0.2284702900215052,2.1677602590061724,8.125,1973.0,0.8616587037496454,0.9375333333333333,0,0
363673,GiveMeSomeCredit,binary,5000,1,256,1,0.2561982949846424,2.4099454089882784,8.125,2028.5869140625,0.8624046064513657,0.9376333333333333,0,0
363673,GiveMeSomeCredit,binary,6000,1,256,1,0.27297083899611607,2.5858167589758523,8.125,2088.1728515625,0.8626074392514873,0.9379,0,0
363673,GiveMeSomeCredit,binary,7000,1,256,1,0.2947059730067849,2.7690679319784977,8.125,2143.759765625,0.862849725124588,0.9379333333333333,0,0
363677,hiva_agnostic,multiclass,1000,1,256,1,2.5723162819631398,10.797755069972482,0.0,6208.412109375,0,0.9648894668400521,0,0
363672,Food_Delivery_Time,regression,20000,1,256,1,4.936781038006302,7.451469547988381,8.125,4526.9208984375,0,0,0.34050267934799194,7.67947763057272
363673,GiveMeSomeCredit,binary,8000,1,256,1,0.31655370199587196,3.08412292401772,8.125,2199.3466796875,0.8642162765973084,0.9373333333333334,0,0
363673,GiveMeSomeCredit,binary,9000,1,256,1,0.3395551350549795,3.3927779770456254,8.125,2254.93408203125,0.8638593015585702,0.9378333333333333,0,0
363616,APSFailure,binary,6000,1,256,1,1.727585953020025,38.955766547005624,8.125,18309.51171875,0.9828863103395765,0.9898026315789473,0,0
363631,diamonds,regression,50000,1,256,1,6.109322713979054,23.936344148009084,8.125,5363.65625,0,0,0.9826914072036743,520.2806934722832
363673,GiveMeSomeCredit,binary,10000,1,256,1,0.3628550080466084,3.545788864023052,8.125,2315.48583984375,0.8621218965445825,0.9377,0,0
363630,Diabetes130US,binary,40000,1,256,1,8.353728675981984,34.06315286399331,8.125,10822.77880859375,0.6287769683423087,0.9119826621923938,0,0
363673,GiveMeSomeCredit,binary,20000,1,256,1,0.5499764310079627,6.452166204049718,8.125,2878.3896484375,0.8636155815141554,0.9378333333333333,0,0
363672,Food_Delivery_Time,regression,30000,1,256,1,5.340578372008167,13.0559414330055,8.125,4526.9208984375,0,0,0.3417820334434509,7.672025162417902
363677,hiva_agnostic,multiclass,2000,1,256,1,10.5441759309615,9.127578810963314,8.3994140625,10250.79736328125,0,0.9648894668400521,0,0
363628,customer_satisfaction_in_airline,binary,50000,1,256,1,4.987084585998673,33.82989069499308,8.125,8049.83837890625,0.9897843643658628,0.9459886048660302,0,0
363673,GiveMeSomeCredit,binary,30000,1,256,1,2.6168913139845245,10.100535973964725,8.125,3446.640625,0.8639010350530176,0.9381666666666667,0,0
